Index,Degree,Technical Skills,Soft Skills,Language,Experience Requirement,Experience Years Requirement
5279,"Pursuing BS/BA in Business Administration, Sustainability, Environmental Science, Environmental Engineering, or related field","Microsoft Word, Excel, Outlook, PowerPoint","Strong written and verbal communication skills, Analytical and interpersonal skills, Attention to detail",None,None,None
5280,Recent graduate or pursuing a degree in Enology and/or Viticulture or related field,"Excel, Word, Outlook",Excellent organizational and communication skills ?€? oral and written,None,None,None
5281,None,None,"Interest in the Wine & Spirits industry, Ability to collaborate on group projects, Willingness to learn and grow professionally, Strong communication skills, Commitment to a team-oriented culture",None,None,None
5282,B.A. / B.S.,None,None,None,"Travel to assigned client locations is required, Must have access to reliable transportation",None
5283,None,None,"Excellent verbal and written communication skills, Highly organized, detail-oriented, and able to manage multiple priorities and projects at once, Excellent interpersonal skills with the ability to build and cultivate relationships",None,Demonstrates a strong interest in the music industry and music business,None
5284,Bachelor?€?s,None,"Possess ability to work effectively on a team, Communicate well in straight-forward situations",Must be a U.S. Citizen,None,None
5285,None,"Electrical Engineering, Software Engineering, Computer Science, basic board design, software engineering concepts","Excellent communication skills, Enthusiasm for collaborating in a fast paced environment, Ability to drive clarity amidst chaos and ambiguity",None,Experience with basic board design and software engineering concepts,None
5286,Bachelor?€?s,None,"Strong communication skills, Interpersonal skills, Detail-oriented and organized",None,Interest in construction industry,None
5287,Bachelor?€?s or Master?€?s,"process optimization, automation, documentation management, ITIL, ITSM",Ability to convey technical information to non-technical stakeholders,None,"Basic familiarity with process optimization, automation, or documentation management, Basic knowledge of ITIL or ITSM concepts",None
5288,None,"Microsoft programs (Word, Excel, PowerPoint, etc.)",Outstanding academic performance required,None,"Relevant internship, work experience and/or involvement with a professional organization desired",None
5289,Bachelor of Commerce,"MS Office, Adobe software",None,None,"Experience in the commercial real estate sector is an asset, Experience in a previous marketing position is an asset",None
5290,None,"SAP, Maestro, RF scanners","Sound communication and interpersonal skills, Must be self-motivated, results oriented and work well with minimal supervision, Strong team orientation",None,"Will hold, or be prepared to complete, forklift operator certification",None
5291,Bachelor?€?s,None,Strong spoken and written communications skills,None,Leadership involvement in extracurricular activities/student organizations,None
5292,None,data entry software,"Strong attention to detail, Ability to work efficiently in a fast-paced environment, Good communication skills",None,Experience with data management,None
5293,Bachelor?€?s,None,"Excellent analytical skills, Strong communication skills",None,Junior level status preferred,None
5294,Bachelor?€?s,None,"Excellent communication and collaboration skills, Research and analytical skills, Flexible, self-starter who is willing to learn, adapt, and take action on feedback",None,"Interest in researching, writing, editing, and adapting clinical content for a general audience",None
5295,Bachelor?€?s,"CAD software, AutoCAD, C, C+, Python, Altium designer",None,None,"Experience with CAD software such as AutoCAD, Experience with various programming languages such as C, C+, and Python, Knowledge of electrical circuit design, specifically using Altium designer",None
5296,Bachelor?€?s,"Python, R, SAS, SPSS, Minitab, JMP, Tableau, PowerBI, SQL, Microsoft Excel, Google Applications (Gmail, Calendar, Docs, Sheets)","Ability to effectively and objectively communicate and work with internal and external customers, strong analytical skills and a keen eye for detail",None,Interest in real estate is preferred,None
5297,Bachelor?€?s or Master?€?s,None,Active in extracurricular activities,Bilingualism (French and English) spoken and written is essential,"Experience in project management, product development or category analysis/management (an asset), Experience in the food and/or consumer products sector (an asset)",None
5298,Bachelor?€?s,"Microsoft Word, Excel, PowerPoint",Strong desire to become a leader at Pentair,None,Legally authorized to work in the United States without sponsorship,None
5299,Bachelor?€?s and/or Master?€?s,None,"Strong communication skills, Ability to work in a team environment, Professional appearance",None,Working knowledge of computers,None
5300,BS or MS,"Java, Python, C#, JavaScript, software development methodologies and tools",Excellent problem-solving and analytical skills,None,"Strong programming skills in one or more languages such as Java, Python, C#, or JavaScript, Familiarity with software development methodologies and tools",None
5301,None,None,"Excellent written and verbal communication abilities, with strong presentation skills, Demonstrated ability to work collaboratively and effectively in team settings, exhibiting strong interpersonal skills, Proficiency in analyzing data and translating findings into strategic recommendations, Commitment to delivering error-free work and maintaining high-quality standards",None,None,None
5302,Bachelor?€?s,"Java, relational database design, HTML/CSS, SQL",Strong interpersonal skills and ability to communicate at all levels,None,Highly analytical and proficient SQL skills or similar relational database design experience,None
5303,None,"Java, rxjava, mySQL, BigTable, DataStore, HTML, CSS, DOM, JavaScript, HTML5, React",None,None,"General theoretical understanding of PaaS hosted relational and no-SQL databases, Familiarity with Web Technologies and web standards, Desirable familiarity with client-side JavaScript Toolkits such as React",None
5304,Masters or Ph.D.,None,Excellent communicator with experience sharing research insights in an engaging way,None,"Proficient in core qualitative UX research methods, such as interviews, field studies, and usability tests, Proficient in qualitative data analysis techniques, such as content and thematic analysis, Prior experience or degree in a technical field, such as computer science, mechanical engineering, or robotics",None
5305,PhD,"Python, C++, PyTorch",None,None,"Research experience in areas like 3D Human Reconstruction or Generative Modeling, Strong research track record and publication record at top-tier conferences",None
5306,Bachelor?€?s,"Microsoft Office Suite, Excel, Prolog, Primavera, AutoDesk Suite",Strong communication skills,None,"Candidates are preferred to be pursuing a 4-year degree in Civil, Structural, Architecture or Construction Management",None
5307,Bachelor?€?s,"Excel, Power Point, Power BI, Data Analytics, PC hardware",None,None,"Preferred Majors/Programs: Hardware Engineering, Industrial Engineering",None
5308,BS or MS,"GraphPad Prism, Excel, PowerPoint",Excellent organizational and communication skills,None,"Prior laboratory experience in a relevant setting, Experience with cellular and molecular biology techniques",None
5309,None,None,"Interest in digital marketing, Eager to apply data and analytics to marketing initiatives",Local to Austin area (or will be for the summer),"Majoring in marketing, business, communications, psychology, or a related field",None
5310,Bachelor?€?s,3D CAD software,None,Bilingual in French and English,"Practical knowledge of 3D CAD software, Knowledge of technical drawing layouts, Valid driver's license and access to a vehicle",None
5311,"Bachelor?€?s, Master?€?s preferred","MS Office Suite (Word, Excel, PowerPoint, Access), MS Project, Primavera P6",Excellent written and verbal skills,English,Experience with construction scheduling programs preferred,None
5312,Bachelor?€?s or Graduate,"Microsoft applications (Excel, Word, PowerPoint)","Professional demeanor, Accurate data entry skills, Strong verbal, written communication, and organizational skills",None,None,None
5313,Bachelor?€?s,"Java, JavaScript","Strong Computer Science fundamentals, Ability to work 40 hours per week",None,Current permanent U.S. work authorization required,None
5314,Bachelor?€?s or Master?€?s,None,"Strong interpersonal, written, and verbal communication skills, Eagerness to learn new skills and technologies, Effective analytical skills",None,None,None
5315,Bachelor?€?s or Master?€?s,None,"Excellent communication, interpersonal, and presentation skills, Ability to work independently and as part of a team, Strong organizational and time management skills",None,None,None
5316,Bachelor?€?s,"Microsoft Office Suite (PowerPoint, Excel)","Exceptional verbal and written communication skills, Self-motivated and problem-solving oriented, Detail oriented with strong prioritization and organization skills",None,None,None
5317,High School Diploma or Equivalent,None,"Excellent communication and interpersonal skills, Detail-oriented with good organizational and time management skills",None,Strong interest in the healthcare industry,None
5318,PhD,"TensorFlow, PyTorch, scikit-learn","Strong problem-solving skills, Ability to work independently as well as in a collaborative environment",None,"Experience with A/B testing frameworks, experimentation design, and analyzing experimental results",None
5319,Bachelor?€?s,"Microsoft Office Suite (Excel, Word, Outlook, Teams)","Strong analytical and problem-solving skills, Excellent communication and collaboration skills",None,Must be authorized to work in the U.S.,None
5320,None,"Google Workspace (Slides, Gmail, Docs, Sheets)",Strong writing and communication skills,None,"Research skills/coursework, including qualitative, quantitative, and secondary research",None
5321,None,"Python, Javascript, Java",Ability to work in person at our Minneapolis office headquarters,None,Entering your senior year of college/university and/or boot camp certification,None
5322,Bachelor?€?s,"Perl, Python, Unix shell, Verilog, SystemVerilog",None,None,In the penultimate year of study,None
5323,High School Diploma or Equivalent,"Blue Prism, Power Automate","Analytical mindset with attention to detail, Eagerness to learn, Good time management skills",None,None,None
5324,Bachelors or Masters,None,"Strong project management skills, Ability to manage time and prioritize effectively",None,"Knowledge in email marketing, Direct-to-consumer selling knowledge",None
5325,None,None,"Demonstrates campus ministry leadership qualities such as initiative, self-awareness and cultural awareness, communication, professionalism, eagerness to learn, cross-cultural competence, teamwork, and relational maturity",None,A developing passion for evangelism,None
5326,"Bachelor of Science, Pharmacy",None,"Superior customer relations skills, Excellent leadership and performance management skills, Excellent communication and interpersonal skills",None,Proven ability to build the business using community based marketing strategies,None
5327,None,None,Excellent writing and spelling skills,Intermediate level of English,"Minimum 6 months of internship experience in communications, public relations or digital marketing",6 months
5328,Bachelor?€?s,"Microsoft Excel, Word","Self-motivated with the ability to multi-task and prioritize tasks, Strong interpersonal skills with an aptitude for clear articulation in both speaking and writing",None,Able to meet deadlines and keep track of multiple assignments/projects,None
5329,BSEE or equivalent,None,None,None,Some experience with electrical engineering test equipment,None
5330,Bachelor?€?s,"CAD, AutoCAD, Revit",None,None,Prior work/internship experience at a design or consulting engineering firm or municipal work environment,None
5331,Bachelor?€?s,None,None,None,"Working towards Bachelors in Cyber Security focused discipline, Achieved one or more of the following certifications: IT Fundamentals, Network+, A+, Security+",None
5332,Bachelors or Masters,"NX, SolidWorks, Catia",None,None,Some background/experience in composites manufacturing,None
5333,B.A. / B.S.,Microsoft Excel,None,None,Accounting Major,None
5334,Undergraduate or recent graduate,None,Strong written and verbal communication skills,None,Experience and interest in planning and coordinating events,None
5335,High School Diploma/GED or equivalent,Microsoft Office Suite,None,None,Strong understanding of basic engineering principles,None
5336,None,None,"Eagerness to learn, Willingness to work in a team, A 'can-do' attitude",None,"3+ years of study in Chemical Engineering or Materials Science and Engineering, 1+ years of experience in a wet chemistry lab",1+ years
5337,High School Diploma or GED,None,"Positive, enthusiastic, energetic personality, Ability to perform an aerobic activity for the duration of a class",None,Must have a working knowledge of health and fitness and the human body,None
5338,None,None,"Exceptional work ethic, High sense of urgency, Proactive and ownership mindset",None,Experience from part-time work or other extracurricular activities,None
5339,Bachelor?€?s,"Microsoft Word, Excel, Outlook, PowerPoint","Excellent organizational, writing, and communication skills",None,"Interest in the relevant business areas with supporting coursework, clubs, or internship experience",None
5340,Bachelor?€?s or equivalent experience in progress,Microsoft Excel,Effective communication and interpersonal skills,None,None,None
5341,Bachelor?€?s,None,"Excellent communication skills, Tenacious inquisitiveness, Attention to detail",None,None,None
5342,Bachelor?€?s or advanced degree,None,None,None,Previous intern experience preferred,None
5343,Bachelor?€?s,None,"Detail-oriented, analytical, motivated, able to take initiatives, Strong time management and organizational skills, Ability to build relationships with team and business partners",None,None,None
5344,Undergraduate,None,None,None,None,None
5345,MS/PhD,"Scikit-learn, TensorFlow, PyTorch, Keras, Python, C/C++, Linux-based development","Good communication, interpersonal, and problem-solving skills",None,None,None
5346,Bachelor?€?s,None,Excellent written and verbal communication skills,None,"Proven track record of successfully leading enrollment strategies and achieving targets, Demonstrated experience in leading and managing enrollment teams",1-2 years
5347,Bachelor?€?s,"JIRA, Figma, Bigquery, Google Analytics","Strong analytical and problem-solving skills, Ability to work collaboratively in a team environment and build relationships with diverse stakeholders, Positive attitude with a product mindset",None,None,None
5348,Law School,MS Office Suite,"Strong problem-solving and detail-oriented skills, Outstanding interpersonal skills",None,None,None
5349,High school,Microsoft Office,None,None,None,None
5350,None,"Microsoft Office Suite (Word, Excel, PowerPoint)","Strong written and verbal communication skills, Excellent organizational and time management skills, Strong analytical and conceptual thinking, Ability to work independently and manage time effectively",None,None,None
5351,Master?€?s,"HTML, CSS, SASS, JavaScript, React",None,None,None,None
5352,Master?€?s,"UNIX command-line tools, HTML, CSS, JavaScript, TypeScript, React, Heroku, Netlify, Firebase",Ability to thrive in a dynamic environment and adapt quickly to evolving needs,None,None,None
5353,Bachelor?€?s,None,Strong customer service skills,None,No prior experience or training necessary,None
5354,High school,Basic computer and email,None,None,None,None
5355,None,Relevant technical tools or onboarding software,"Ability to work independently and in a team environment, Strong communication skills, Problem-solving abilities",None,None,None
5356,"Journalism, communications, or related field",None,"Excellent research, writing, presentation and organizational skills, Eye for detail, proofreading and copyediting, Sound news judgment",None,None,None
5357,Sales or marketing,None,"Able to perform multiple, detail-orientated tasks with simultaneous deadlines, Good writing skills, Team player with strong work ethic and integrity",None,None,None
5358,None,"Python, C++, Java",Excellent communication skills,None,None,None
5359,Graduate,None,None,None,"Permanently authorized to work in the U.S., must not require sponsorship of an employment visa at the time of application or in the future",None
5360,Undergraduate or graduate,"Microsoft Office (Word, Excel, PowerPoint), JMP, SIMCA",None,None,"One year of laboratory research experience or equivalent is preferred, Experience with protein purification is preferred",None
5361,Undergraduate,"SAP (Module MM, PP)",Ability to communicate verbally and in written form in English,English,None,None
5362,Bachelor?€?s,None,None,None,None,None
5363,PhD,"Python, SQL",Strong analytical and quantitative skills,None,Experience or curiosity about publishing papers at top-tier venues,None
5364,None,None,"Desire to learn and contribute to team environment, Proven analytical skills, Strong communication skills",None,None,None
5365,Bachelor?€?s,"Microsoft Excel, financial software","Strong analytical and problem-solving skills, Excellent communication and interpersonal skills, Attention to detail and strong organizational skills",None,None,None
5366,None,None,"Motivated and highly organized, Strong attention to detail, Excellent writing and editing skills, Engaged listening skills",None,None,None
5367,Graphic design or similar field,"Adobe Creative Suite, Figma",Highly organized with great attention to detail,None,None,None
5368,"Human Resources, Organizational Development, Education, or related field","Google Suite, Microsoft Office Suite (Word, Excel, PowerPoint)","Excellent communication and interpersonal skills, Strong organizational skills and attention to detail",None,None,None
5369,Master?€?s,"Microsoft Office Applications, SharePoint, AI search tools","Must be able to read and interpret data, information, and documents",None,None,None
5370,Accounting or Finance,Microsoft Office,"Accuracy/Attention to detail, Good oral and written communication skills, Willingness to learn new processes",None,None,None
5371,High School Diploma OR Currently pursuing a BS/BA or MS/MA degree OR Equivalent combination of education and experience,None,"Excellent communication and collaboration skills, Self-motivation and excellent problem-solving skills, Detail-oriented and organizational skills",None,None,None
5372,"Pursuing a degree in Accounting, Finance, or related field","Microsoft Office Suite (Excel, Word, PowerPoint)","Strong analytical and problem-solving skills, Ability to work independently and as part of a team, Effective time management skills",None,None,None
5373,"Currently pursuing a bachelor?€?s degree in Computer Science, Software Engineering or related area",Various programming languages,"Strong communication and presentation skills, Self-motivated and results-oriented, Ability to interact with cross-functional teams",None,Experience with various programming languages,None
5374,None,"Python, C++, machine learning concepts, cybersecurity principles",Excellent analytical and problem-solving abilities,None,"Experience working in fast-paced, collaborative environments",None
5375,"Currently pursuing or have recently completed a bachelor?€?s degree in Data Science, Statistics, Computer Science, Mathematics, Business Analytics, Construction Management, or related field","Microsoft Excel, PowerPoint, PowerBI, SQL, Miro, BigQuery, Chat CPT","Strong analytical and problem-solving capabilities, Ability to work collaboratively in a fast-paced environment",None,None,None
5376,Incoming or current graduate students (Masters) in a resilience-related engineering and/or architectural program,"Microsoft Suite programs (Word, Excel, Powerpoint), CAD programs (AutoCAD), LEED, WEDG, RELi",None,None,None,None
5377,"Currently enrolled in a master or PhD program in Bioinformatics, Computational Biology, Computer Science, Bioengineering, Physics or related fields, Currently enrolled in bachelor program in Bioinformatics, Computational Biology, Computer Science, Bioengineering, Physics or related fields with 2+ years of computational biology research experience","Python, R","Strong quantitative understanding of complex biological problems, Strong data analysis skill",None,1+ years of research experience analyzing NGS data,1+ years
5378,None,None,"Enthusiasm and curiosity, Detail oriented and well organized, Effective multi-tasking capabilities, Solid verbal and written communication skills",None,None,None
5379,"Currently enrolled in a program related to Industrial Engineering, Supply Chain Management, Procurement, or a related field","Microsoft office (PowerPoint, Excel, Word & Outlook)","Excellent verbal and written communication skills, Able to work independently",None,None,None
5380,"Rising Sophomore, Junior or Senior pursuing a degree in Biology or related field",None,"Commitment to Core Values: Patients First, Thoughtfulness, Urgency, Trust, Optimism, Ability to collaborate with cross-functional teams, Strong presentation and analytical skills",None,"Experience with laboratory techniques (cell culture, pipetting)",None
5381,Pursuing a BS degree in Engineering or Business Administration,"Microsoft Office Suite, lean manufacturing/Six Sigma projects","Excellent organizational and communication skills, Strong analytical and problem-solving skills",None,None,None
5382,None,None,"High level of attention to detail, Strong work ethic, Ability to multi-task in a fast-paced environment, Strong communication skills",None,None,None
5383,"High School Diploma/GED or equivalent, Current enrollment in an accredited post-secondary construction services program",None,"Strong communication skills, Ability to work collaboratively in a team environment",None,Completion of 2 years of post-secondary construction services program (preferred),None
5384,Currently pursuing a Bachelor's in Physics or equivalent field,"Python, Matlab, C, C++, PyTorch, CAD modeling, FDTD simulations",None,U.S. Citizen,"Some experience with lab instrumentation (oscilloscopes, function generators, optics, lasers, electronics, soldering, 3D printing), and/or coding",None
5385,BA/BS degree with a focus in product or a UX Design Related Certificate Program preferred,"Lean UX methods, Agile development processes","Strong critical thinking and analysis skills, Good listener, Collaborative and team oriented work approach",None,Experience with Lean UX methods and Agile development processes a plus,None
5386,At least two years out of high school and currently enrolled in a postsecondary education or training program.,"Google Suite, Microsoft Office","Demonstrated ability to learn quickly and contribute in a collaborative environment., Strong communication skills, both written and verbal., Excellent attention to detail and time management skills.",None,None,None
5387,PhD candidate in Statistics or Biostatistics,"R, SAS",Strong presentation skills,None,Experience in statistical analysis,None
5388,Enrolled in Computer or Electrical Engineering Bachelor's or Master's Degree program,None,"Effective communication skills, Strong desire to learn",None,None,None
5389,Currently studying for a Bachelor?€?s or Master?€?s Degree in any areas,"AI, data analytics, machine learning, data science","Strong interest in talent acquisition/recruitment with well-versed communication skills, Ability to multitask in a fast-paced environment with learning agility, Good communication and presentation skills",English and Thai,None,None
5390,Currently enrolled in an AVMA accredited veterinary technology or veterinary nursing program,None,None,None,Must begin externship within 6 months of application,None
5391,None,Technology systems,"Strong organizational skills, Excellent communication skills",None,Background in project management,None
5392,"Currently enrolled undergraduate student pursuing a degree in Finance, Business, Accounting, or a related field, with an expected graduation date of December 2025 or May 2026","Microsoft Office applications, specifically Excel","Excellent written and verbal communication skills, Solid organizational skills, and be deadline-oriented, with excellent attention to detail, Demonstrated leadership skills",None,None,None
5393,Pursuing an undergraduate or graduate degree,"Microsoft Office, Google Workspace, Canva, Adobe Creative Suite","Strong written and verbal communication skills, Ability to manage multiple projects and meet deadlines in a fast-paced environment, A proactive and detail-oriented mindset with strong problem-solving skills",None,None,None
5394,"Currently attending an accredited college or university, required; focus in Computer Science, Management Information Systems, Information Systems, or Data Science, preferred","SQL, SQL server, data analytics technologies",None,None,"Three (3) or more months experience with data analytics technologies such as SQL and SQL server, required",3+ months
5395,Studying a BA/BS degree in Computer Science,None,Ability to work in teams,None,"Good relational data modeling, Good understanding of the aPaaS/PaaS and cloud market space",None
5396,Currently pursuing graduate degree in Computer Science or related fields,"C#, Python, data integration concepts and tools","Strong analytical, problem-solving, and communication skills",None,Basic understanding of manufacturing or willingness to learn about wafer fabrication environments,None
5397,None,None,"Understanding of media relations and the PR industry, Extreme attention to detail, Excellent writing skills, Inherently organized and able to juggle multiple projects flawlessly",None,Previous internship and/or professional experience is strongly encouraged (PR and/or Influencer specific experience is a plus!),None
5398,"High School Diploma or equivalent, required., Currently enrolled in undergraduate program as a senior or enrolled in a graduate level program.",None,None,None,"Prior administrative experience in a hospital setting, preferred.",None
5399,Must have completed at least four (4) semesters of college or university curriculum and be currently enrolled toward a degree in Finance or Accounting,None,"Be a resourceful team player that manages ambiguity and is able to adapt to different situations and people, Comfortable with public speaking, Ability to quickly learn new technologies",None,Knowledge or courses are taken in the area of discipline,None
5400,None,None,"Strong project management skills including managing deadlines, getting alignment, and delivering analysis and recommendations, Eager to learn and quickly absorb a wide breadth of knowledge related to affiliate and influencer marketing, Strong collaboration, communication and presentation skills, Ability to collaborate well with others across the organization and thrive in a dynamic, fast-paced, and highly-fluid environment",None,Comfortable working with data that pertains to influencers and affiliates,None
5401,High School,Microsoft Office,None,None,None,None
5402,None,None,"Teamwork, Learning new technologies",None,None,None
5403,High School,None,"Customer service, Collaboration, Detail oriented",None,Customer service experience,None
5404,Bachelor?€?s,"Microsoft Office (Word, Excel, PowerPoint)","Ability to work in a fast-paced environment, Strong written and verbal communication skills",None,None,None
5405,Sophomore or junior,None,Passionate about exploring new ideas,None,1-3 years of customer service and sales experience,1-3 years
5406,None,None,"Willingness to learn, Ability to assist in documentation and reporting, Interest in mechanical, electrical and civil works, Basic understanding of human resources processes",None,None,None
5407,Bachelor?€?s,"PowerPoint, Excel",Demonstrate passion for the industry,None,None,None
5408,None,"MS Office (PowerPoint, Excel)","Strong written skills, Excellent communication and interpersonal skills, Ability to meet tight deadlines, Desire to learn",None,None,None
5409,Bachelor?€?s or Master?€?s,"MS Excel, MS Word",Strong academic track record,Must be legally authorized to work in the United States,0-2 years recent public accounting experience,0-2 years
5410,None,"LAN, Internet, digital communication systems, telecommunications, data communications, standard operating systems, software packages, software utilities, audio visual equipment, Microsoft, Mac, Google desktop technologies",None,None,"Must have experience with system configuration, setup, repair, troubleshooting, and user support",None
5411,None,None,Strong communication and presentation skills,None,0-3 years relevant work experience,0-3 years
5412,"High School, BS in Chemical or Mechanical Engineering",Google Suite,None,None,Previous internship experience,At least six months
5413,Bachelor?€?s,None,None,None,Previous internship experience,None
5414,Bachelor?€?s,None,"Excellent communication, organizational, and interpersonal skills, Ability to work both independently and collaboratively",None,None,None
5415,Undergraduate or Master?€?s,"Microsoft Office (PowerPoint, Excel)","Excellent communication skills, attention to detail, ability to prioritize tasks",Must have permanent U.S. work authorization,None,None
5416,Bachelor?€?s or higher,ArcGIS,"Strong work ethic, attention to detail, robust oral and written communication skills",None,None,None
5417,None,Data visualization tools,"Strong communication skills, Willingness to learn, Ability to work collaboratively in a team",None,None,None
5418,Masters or PhD,Excel,Strong communication skills,None,None,None
5419,Bachelor?€?s,"ReactJS, ReactNative, Agile methodologies",Good written and communication skills,None,Experience developing cutting edge applications,None
5420,Bachelor?€?s,None,Strong problem-solving skills,None,"3+ months of educational or industry experience, Experience with facilities operations or maintenance",3+ months
5421,M.Ed,None,"Excellent communication and collaboration skills, Detail-oriented and organizational skills",None,"Experience teaching social studies, Experience designing curriculum and writing assessments",None
5422,"Bachelor?€?s, Master?€?s, or PhD",None,"Strong analytical and problem-solving skills, Excellent written and verbal communication skills",None,None,None
5423,PhD,"Python, PyTorch, TensorFlow, Flax",None,None,"Experience with data-driven methods in simulation, Experience with development of physics simulation tools and numerical solvers, Experience with AI model training and ecosystems",None
5424,"Bachelor?€?s, Master?€?s, JD/PhD",None,"Ability to effectively manage a demanding workload and multiple priorities, Attention to detail and process management",None,Any exposure to recruiting or corporate work environment highly preferred,None
5425,Bachelor?€?s or Master?€?s,"Microsoft Office, Cloud computing, Virtualization technologies",None,None,Ability to diagnose and resolve network issues efficiently,None
5426,Bachelor?€?s,"MS Office (Word, Excel, PowerPoint)",Ability to perform trigonometric calculation,None,"0 - 2 years construction estimating support, engineering, field support, or similar experience",0 - 2 years
5427,None,Basic programming,Strong communication and presentation skills,None,None,None
5428,None,"GD &T, Drafting standards",Ability to read and speak English sufficiently,English,Experience with mechanical design,None
5429,None,None,None,None,Externship must begin within 6 months of application,None
5430,Bachelor?€?s,"C#, .NET, SQL, Python, React, Angular, AWS, TypeScript, NoSQL databases, MongoDB, ElasticSearch, Kafka","Ability to write understandable, maintainable, and well-documented code",None,Experience or exposure in at least 4 of the listed programming languages and technologies,None
5431,None,"Microsoft Excel, MS Office","Excellent analytical skills, attention to detail, ability to work independently, strong communication and interpersonal skills",None,None,None
5432,Bachelor?€?s,Excel,"Strong problem-solving abilities, organizational skills, excellent attention to detail, self-motivated, flexible, team player",None,None,None
5433,Bachelor?€?s,"Microsoft Windows, MS Office",Willingness to learn new technologies,None,None,None
5434,None,None,"Excellent writing and research skills, strong interpersonal communications skills, effective time management, ability to work collaboratively",None,None,None
5435,BS/MS/PhD,"Excel, standard molecular biology techniques, basic data analysis tools",None,None,1+ years of hands-on molecular biology experience,1+ years
5436,Grade 12 diploma or equivalent,None,None,None,Previous experience in the liquor industry,None
5437,High school,Basic computer and email,Willingness to learn and grow in a sales environment,None,None,None
5438,Bachelor?€?s,"Hand tools, electrical tools, measurement instruments, mechatronics hardware","Hands on aptitude, desire to work in a fast-paced startup environment",None,None,None
5439,College Sophomore or higher,"2D/3D CAD (Solid Works, Auto Cad), manufacturing processes",Ability to effectively perform in a team environment,None,None,None
5440,Bachelor?€?s,"Matlab/Simulink, Python, battery systems",Excellent analytical and problem-solving skills,None,Hands on experience with battery systems,None
5441,Bachelor?€?s,"ESRI GIS, MS Office (Excel, Word, PowerPoint)",Strong academic performance,None,None,None
5442,University student or fresh graduate,"Excel, PowerPoint","Excellent oral and written communication skills, ability to multi-task and manage time effectively",None,None,None
5443,Bachelor?€?s,"MS Office (Word, Excel, PowerPoint)","Excellent professional communication skills, highly self-motivated",None,None,None
5444,Bachelor?€?s,None,Strong communication skills,None,6 months or more experience in an HR capacity,6+ months
5445,Bachelor?€?s,"Alteryx, PowerBI, Python, R, Microsoft Office (Excel, PowerPoint)",None,None,"Experience in data prep, workflow, and visualization tools",None
5446,Bachelor?€?s or Master?€?s,"MicroStation, Civil 3D, AutoCAD, Open Roads Designer",None,None,Experience in the architecture/engineering/construction management industry,None
5447,Bachelor?€?s,"Microsoft Office (Excel, Word), AutoCAD",Effective communication skills,None,None,None
5448,None,None,None,None,None,None
5449,2-/4-year degree,"Microsoft Office, social media platforms","Excellent interpersonal skills, ability to work collaboratively in teams",None,Relevant experience,None
5450,None,"Javascript, HTML, CSS, Figma","Curiosity and excitement to learn, collaboration skills",None,None,None
5451,Bachelor?€?s,None,"Strong communication skills, ability to resolve routine problems",None,Familiarity with supply chain processes,None
5452,Bachelor?€?s,"Advanced Excel, Tableau, Python, SQL",None,None,Experience or understanding of Data Analytics,None
5453,Bachelor?€?s,"Microsoft Office (Word, Excel, Outlook), Ceridian","Strong interpersonal skills, exceptional commitment to customer service",None,Experience with integrated HRIS/payroll systems,None
5454,Bachelor?€?s,None,Strong communication skills,None,None,None
5455,None,None,Customer service skills,None,2 years general work experience,2 years
5456,Grade 12,None,"Excellent interpersonal, organizational, and communication skills, ability to work under minimal supervision",None,Previous warehousing and core inspection experience,None
5457,Bachelor?€?s,"C#, React, SQL, .NET, Java, C++, Python","Good communication skills, team player",None,Prior software development internship experience,None
5458,Bachelor?€?s,None,"Excellent organizational skills, attention to detail, time management skills",None,Minimum of 1-year rodent handling experience,1+ years
5459,Bachelor?€?s,"Microsoft Word, PowerPoint, Excel (pivot tables, VLOOKUPs)","Strong teamwork skills, ability to thrive in a fast-paced environment, excellent written and verbal communication skills",None,"Related experience in projects, clubs, or previous internships",None
5460,None,None,"Professional communication and presentation skills, hardworking and enthusiastic, team player attitude, ability to support sales growth",None,None,None
5461,High school graduate or equivalent,None,None,None,equivalent experience required,None
5462,Bachelor's or Master's,None,"Strong attention to detail, Effective communication and collaboration skills",None,Hands-on experience with testing and troubleshooting,None
5463,Master's or 4th/3rd year of Engineering,"3D CAD modeling software (SolidWorks), MS Office (Word, Excel)",Proven ability to write procedures and present complex problems and solutions,None,Experience in 3D CAD modeling software,None
5464,PhD,"Python, R, SQL","Experience communicating/collaborating with multidisciplinary stakeholders, Ability to learn new systems and conduct independent research",None,"Experience with scientific computing languages, Experience writing and debugging data pipelines",None
5465,None,"Python, PyTorch, Google Cloud Platform, Snowflake, Microsoft Office (Word, Excel, PowerPoint, Outlook)",Strong analytical and problem-solving skills,None,Hands-on experience and academic knowledge of AI/ML and graph algorithms,None
5466,Bachelor?€?s or Master?€?s,None,"Passion for problem-solving, innovation, and continuous learning, Ability to adapt and thrive in a collaborative, fast-paced environment",None,Experience with sales tools or CRM platforms is a plus,None
5467,Bachelor's or advanced degree,None,None,None,None,None
5468,Bachelor's,"Adobe Marketing Cloud, Salesforce Marketing Cloud, Braze, HubSpot",Excellent writing and communication skills,None,None,None
5469,"Bachelor?€?s, Master?€?s, or PhD","Catia, 3DX, AutoCAD",None,None,"Experience with analytical problem-solving techniques and methodologies like 8D, Six Sigma",None
5470,Bachelor?€?s,Excel,None,None,Knowledge of electrical component key characteristics,None
